web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-933","https://listfist.com/list-of-one-piece-manga-chapters","933","A Samurai's Mercy","February 18, 2019","17"
"1653553987-546","https://listfist.com/list-of-one-piece-manga-chapters","546","Captain of Fishmen Pirates, ""Shichibukai"" Jinbe","June 15, 2009","17"
"1653553987-87","https://listfist.com/list-of-one-piece-manga-chapters","87","It's Over!!","May 10, 1999","19"
"1653553987-670","https://listfist.com/list-of-one-piece-manga-chapters","670","Blizzard With a Chance of Slime","June 11, 2012","17"
"1653553987-651","https://listfist.com/list-of-one-piece-manga-chapters","651","The Voice From the New World","January 4, 2012","19"
"1653553987-426","https://listfist.com/list-of-one-piece-manga-chapters","426","A Ship Waiting for Wind","September 11, 2006","19"
"1653553987-558","https://listfist.com/list-of-one-piece-manga-chapters","558","Younger Brother","September 28, 2009","17"
"1653553987-597","https://listfist.com/list-of-one-piece-manga-chapters","597","3D2Y","August 30, 2010","19"
"1653553987-469","https://listfist.com/list-of-one-piece-manga-chapters","469","Show Yourselves, Straw Hat Crew!!!","September 3, 2007","19"
"1653553987-457","https://listfist.com/list-of-one-piece-manga-chapters","457","Meeeeeaaaaaat!!!","May 28, 2007","19"
"1653553987-334","https://listfist.com/list-of-one-piece-manga-chapters","334","The Case of the Sealed Room","August 30, 2004","19"
"1653553987-327","https://listfist.com/list-of-one-piece-manga-chapters","327","Shipyard Island, Construction Dock No. 1","June 28, 2004","21"
"1653553987-556","https://listfist.com/list-of-one-piece-manga-chapters","556","Justice will Prevail!!","September 7, 2009","17"
"1653553987-656","https://listfist.com/list-of-one-piece-manga-chapters","656","Adventure on the Burning Island","February 13, 2012","19"
"1653553987-686","https://listfist.com/list-of-one-piece-manga-chapters","686","The Snow Woman in the Biscuits Room","October 29, 2012","19"
"1653553987-588","https://listfist.com/list-of-one-piece-manga-chapters","588","Sabo's Ocean","June 14, 2010","19"
"1653553987-966","https://listfist.com/list-of-one-piece-manga-chapters","966","Roger and Whitebeard","December 23, 2019","17"
"1653553987-519","https://listfist.com/list-of-one-piece-manga-chapters","519","A King's Disposition","October 27, 2008","19"
"1653553987-154","https://listfist.com/list-of-one-piece-manga-chapters","154","To Alabasta","October 2, 2000","19"
"1653553987-510","https://listfist.com/list-of-one-piece-manga-chapters","510","Straw Hat Crew vs. Combat Weapon","August 11, 2008","19"
"1653553987-733","https://listfist.com/list-of-one-piece-manga-chapters","733","What Soldier-san Wants","January 4, 2014","19"
"1653553987-1035","https://listfist.com/list-of-one-piece-manga-chapters","1035","Zoro vs. King","December 20, 2021","17"
"1653553987-821","https://listfist.com/list-of-one-piece-manga-chapters","821","Understood","April 4, 2016","19"
"1653553987-2","https://listfist.com/list-of-one-piece-manga-chapters","2","That Guy, ""Straw Hat Luffy""","July 28, 1997","23"
"1653553987-21","https://listfist.com/list-of-one-piece-manga-chapters","21","Town","December 22, 1997","19"
"1653553987-286","https://listfist.com/list-of-one-piece-manga-chapters","286","The Monster of Shandora","July 28, 2003","17"
"1653553987-9","https://listfist.com/list-of-one-piece-manga-chapters","9","The Devil Girl","September 22, 1997","21"
"1653553987-839","https://listfist.com/list-of-one-piece-manga-chapters","839","I Owe You My Life","September 17, 2016","17"
"1653553987-337","https://listfist.com/list-of-one-piece-manga-chapters","337","Bodyguards of the ""Water Metropolis""","September 18, 2004","19"
"1653553987-382","https://listfist.com/list-of-one-piece-manga-chapters","382","The Demon's Hideout","September 17, 2005","19"
"1653553987-131","https://listfist.com/list-of-one-piece-manga-chapters","131","Tin Plate Wapol","April 10, 2000","19"
"1653553987-972","https://listfist.com/list-of-one-piece-manga-chapters","972","I am Oden, And I Was Born to Boil","February 22, 2020","19"
"1653553987-761","https://listfist.com/list-of-one-piece-manga-chapters","761","Ope Ope no Mi","September 22, 2014","15"
"1653553987-362","https://listfist.com/list-of-one-piece-manga-chapters","362","Ebb Tide","April 11, 2005","19"
"1653553987-738","https://listfist.com/list-of-one-piece-manga-chapters","738","Trebol Army Special Officer Sugar","February 24, 2014","19"
"1653553987-193","https://listfist.com/list-of-one-piece-manga-chapters","193","Ideal Nation","July 30, 2001","19"
"1653553987-161","https://listfist.com/list-of-one-piece-manga-chapters","161","The Green Town, Erumalu","November 20, 2000","19"
"1653553987-47","https://listfist.com/list-of-one-piece-manga-chapters","47","Pirate Fleet Admiral ""Don Krieg""","July 6, 1998","19"
"1653553987-576","https://listfist.com/list-of-one-piece-manga-chapters","576","The Great Pirate Edward Newgate","March 8, 2010","17"
"1653553987-411","https://listfist.com/list-of-one-piece-manga-chapters","411","Nami vs. Kalifa","May 22, 2006","19"
"1653553987-807","https://listfist.com/list-of-one-piece-manga-chapters","807","10 Days Ago","November 21, 2015","17"
"1653553987-742","https://listfist.com/list-of-one-piece-manga-chapters","742","I'll Always Be By Your Side","March 31, 2014","19"
"1653553987-25","https://listfist.com/list-of-one-piece-manga-chapters","25","800 Lies","January 26, 1998","19"
"1653553987-103","https://listfist.com/list-of-one-piece-manga-chapters","103","Whale","September 6, 1999","20"
"1653553987-384","https://listfist.com/list-of-one-piece-manga-chapters","384","Raise the Counterattack Signal","October 3, 2005","19"
"1653553987-465","https://listfist.com/list-of-one-piece-manga-chapters","465","Pirate Usopp vs. Princess Perona","July 30, 2007","19"
"1653553987-440","https://listfist.com/list-of-one-piece-manga-chapters","440","Fire Fist vs. Blackbeard","January 6, 2007","19"
"1653553987-322","https://listfist.com/list-of-one-piece-manga-chapters","322","Puffing Tom","May 24, 2004","19"
"1653553987-1033","https://listfist.com/list-of-one-piece-manga-chapters","1033","Shimotsuki Kozaburo","November 29, 2021","17"
"1653553987-93","https://listfist.com/list-of-one-piece-manga-chapters","93","Going Down","June 21, 1999","19"
"1653553987-668","https://listfist.com/list-of-one-piece-manga-chapters","668","Pirate Alliance","May 28, 2012","19"
"1653553987-78","https://listfist.com/list-of-one-piece-manga-chapters","78","Bell-mère-san","March 1, 1999","19"
"1653553987-949","https://listfist.com/list-of-one-piece-manga-chapters","949","Mummy","July 22, 2019","19"
"1653553987-889","https://listfist.com/list-of-one-piece-manga-chapters","889","An Unknown Mama","December 25, 2017","17"
"1653553987-212","https://listfist.com/list-of-one-piece-manga-chapters","212","Some Justice","December 17, 2001","19"
"1653553987-809","https://listfist.com/list-of-one-piece-manga-chapters","809","Master Nekomamushi","December 7, 2015","19"
"1653553987-392","https://listfist.com/list-of-one-piece-manga-chapters","392","Dereshi","December 12, 2005","19"
"1653553987-236","https://listfist.com/list-of-one-piece-manga-chapters","236","The Ship Goes Into the Sky","July 1, 2002","19"
"1653553987-107","https://listfist.com/list-of-one-piece-manga-chapters","107","Moonlight and Gravestones","October 4, 1999","18"
"1653553987-300","https://listfist.com/list-of-one-piece-manga-chapters","300","Symphony","November 22, 2003","19"
"1653553987-785","https://listfist.com/list-of-one-piece-manga-chapters","785","Even If Your Legs Break","May 11, 2015","19"
"1653553987-92","https://listfist.com/list-of-one-piece-manga-chapters","92","Paradise","June 14, 1999","19"
"1653553987-772","https://listfist.com/list-of-one-piece-manga-chapters","772","Cabbage & Lomeo","January 5, 2015","17"
"1653553987-70","https://listfist.com/list-of-one-piece-manga-chapters","70","Usopp's Great Manly Adventure","January 4, 1999","20"
"1653553987-150","https://listfist.com/list-of-one-piece-manga-chapters","150","Royal Drum Crown 7-Shot Bliking Cannon","September 4, 2000","19"
"1653553987-430","https://listfist.com/list-of-one-piece-manga-chapters","430","Falling Snow of Reminiscence","October 7, 2006","19"
"1653553987-19","https://listfist.com/list-of-one-piece-manga-chapters","19","Devil Fruit","December 1, 1997","19"
"1653553987-766","https://listfist.com/list-of-one-piece-manga-chapters","766","Smile","November 10, 2014","17"
"1653553987-1002","https://listfist.com/list-of-one-piece-manga-chapters","1002","Four Emperors vs. New Generation","February 1, 2021","17"
"1653553987-307","https://listfist.com/list-of-one-piece-manga-chapters","307","Ready, Donuts!!","January 26, 2004","19"
"1653553987-740","https://listfist.com/list-of-one-piece-manga-chapters","740","It's Up to You!!!","March 10, 2014","19"
"1653553987-386","https://listfist.com/list-of-one-piece-manga-chapters","386","Unprecedented","October 17, 2005","15"
"1653553987-675","https://listfist.com/list-of-one-piece-manga-chapters","675","Its Name is 'Shinokuni'","July 30, 2012","19"
"1653553987-279","https://listfist.com/list-of-one-piece-manga-chapters","279","Luffy the Pirate vs. God Enel","June 9, 2003","19"
"1653553987-491","https://listfist.com/list-of-one-piece-manga-chapters","491","Flying Fish Riders","March 10, 2008","19"
"1653553987-666","https://listfist.com/list-of-one-piece-manga-chapters","666","Yeti Cool Brothers","May 14, 2012","17"
"1653553987-678","https://listfist.com/list-of-one-piece-manga-chapters","678","The Lobby of Laboratory Building A","August 27, 2012","17"
"1653553987-970","https://listfist.com/list-of-one-piece-manga-chapters","970","Oden vs. Kaido","February 3, 2020","17"
"1653553987-995","https://listfist.com/list-of-one-piece-manga-chapters","995","A Kunoichi's Oath","November 16, 2020","17"
"1653553987-776","https://listfist.com/list-of-one-piece-manga-chapters","776","The Hero of the Colosseum","February 16, 2015","19"
"1653553987-303","https://listfist.com/list-of-one-piece-manga-chapters","303","Rich Pirates","December 15, 2003","19"
"1653553987-119","https://listfist.com/list-of-one-piece-manga-chapters","119","Makeshift","January 17, 2000","19"
"1653553987-381","https://listfist.com/list-of-one-piece-manga-chapters","381","Fired","September 12, 2005","19"
"1653553987-157","https://listfist.com/list-of-one-piece-manga-chapters","157","Introducing Ace","October 23, 2000","19"
"1653553987-190","https://listfist.com/list-of-one-piece-manga-chapters","190","Clima Tact","July 9, 2001","19"
"1653553987-65","https://listfist.com/list-of-one-piece-manga-chapters","65","Prepare","November 16, 1998","19"
"1653553987-140","https://listfist.com/list-of-one-piece-manga-chapters","140","Castle of Snow","June 19, 2000","19"
"1653553987-242","https://listfist.com/list-of-one-piece-manga-chapters","242","Class-2 Criminals","August 12, 2002","17"
"1653553987-691","https://listfist.com/list-of-one-piece-manga-chapters","691","The King of the Land of Death","December 10, 2012","21"
"1653553987-865","https://listfist.com/list-of-one-piece-manga-chapters","865","Hey, Mother","May 15, 2017","17"
"1653553987-721","https://listfist.com/list-of-one-piece-manga-chapters","721","Rebecca and Soldier-san","September 14, 2013","19"
"1653553987-6","https://listfist.com/list-of-one-piece-manga-chapters","6","The First Crew Member","September 1, 1997","23"
"1653553987-888","https://listfist.com/list-of-one-piece-manga-chapters","888","Lion","December 11, 2017","17"
"1653553987-1027","https://listfist.com/list-of-one-piece-manga-chapters","1027","Danger Beyond Imagining","October 4, 2021","17"
"1653553987-936","https://listfist.com/list-of-one-piece-manga-chapters","936","The Great Sumo Inferno","March 18, 2019","17"
"1653553987-215","https://listfist.com/list-of-one-piece-manga-chapters","215","Last Waltz","January 21, 2002","19"
"1653553987-127","https://listfist.com/list-of-one-piece-manga-chapters","127","Den Den Mushi","March 13, 2000","19"
"1653553987-664","https://listfist.com/list-of-one-piece-manga-chapters","664","Master Caesar Clown","April 23, 2012","19"
"1653553987-372","https://listfist.com/list-of-one-piece-manga-chapters","372","Parage","June 27, 2005","19"
"1653553987-731","https://listfist.com/list-of-one-piece-manga-chapters","731","Operation Dressrosa SOP","December 16, 2013","19"
"1653553987-937","https://listfist.com/list-of-one-piece-manga-chapters","937","Gyukimaru of Bandit Bridge","March 25, 2019","17"
"1653553987-195","https://listfist.com/list-of-one-piece-manga-chapters","195","Mr. Bushido","August 20, 2001","21"
"1653553987-940","https://listfist.com/list-of-one-piece-manga-chapters","940","The Spark of Rebellion","April 22, 2019","17"
"1653553987-335","https://listfist.com/list-of-one-piece-manga-chapters","335","Warning","September 6, 2004","19"
"1653553987-759","https://listfist.com/list-of-one-piece-manga-chapters","759","Secret Plan","September 8, 2014","17"
"1653553987-853","https://listfist.com/list-of-one-piece-manga-chapters","853","Not Here","January 30, 2017","17"
"1653553987-784","https://listfist.com/list-of-one-piece-manga-chapters","784","Gear Fourth","April 27, 2015","19"
"1653553987-148","https://listfist.com/list-of-one-piece-manga-chapters","148","You Can't Destroy It","August 21, 2000","19"
"1653553987-700","https://listfist.com/list-of-one-piece-manga-chapters","700","His Own Pace","March 4, 2013","19"
"1653553987-192","https://listfist.com/list-of-one-piece-manga-chapters","192","Whirlwind Warning","July 23, 2001","19"
"1653553987-1018","https://listfist.com/list-of-one-piece-manga-chapters","1018","Jinbe vs. Who's-Who","July 5, 2021","17"
"1653553987-74","https://listfist.com/list-of-one-piece-manga-chapters","74","Business","February 1, 1999","19"
"1653553987-877","https://listfist.com/list-of-one-piece-manga-chapters","877","Not Sweet","September 4, 2017","17"
"1653553987-276","https://listfist.com/list-of-one-piece-manga-chapters","276","Shandia Rhythm","May 19, 2003","19"
"1653553987-614","https://listfist.com/list-of-one-piece-manga-chapters","614","What's Done is Done","February 14, 2011","17"
"1653553987-1038","https://listfist.com/list-of-one-piece-manga-chapters","1038","Kid & Law vs. Big Mom","January 31, 2022","17"
"1653553987-389","https://listfist.com/list-of-one-piece-manga-chapters","389","Respond","November 14, 2005","19"
"1653553987-703","https://listfist.com/list-of-one-piece-manga-chapters","703","Waiting Room","April 1, 2013","19"
"1653553987-200","https://listfist.com/list-of-one-piece-manga-chapters","200","Water Luffy","September 22, 2001","19"
"1653553987-41","https://listfist.com/list-of-one-piece-manga-chapters","41","To the Sea","May 25, 1998","18"
"1653553987-639","https://listfist.com/list-of-one-piece-manga-chapters","639","I'll Protect Everything","September 17, 2011","19"
"1653553987-344","https://listfist.com/list-of-one-piece-manga-chapters","344","Opposing Powers","November 8, 2004","19"
"1653553987-1017","https://listfist.com/list-of-one-piece-manga-chapters","1017","Orders","June 28, 2021","17"
"1653553987-692","https://listfist.com/list-of-one-piece-manga-chapters","692","The Assassins from Dressrosa","December 17, 2012","19"
"1653553987-632","https://listfist.com/list-of-one-piece-manga-chapters","632","I Knew it All Along","July 16, 2011","19"
"1653553987-86","https://listfist.com/list-of-one-piece-manga-chapters","86","Chivalry vs. Fishman Karate","April 26, 1999","20"
"1653553987-50","https://listfist.com/list-of-one-piece-manga-chapters","50","Every One is a Road","July 27, 1998","19"
"1653553987-820","https://listfist.com/list-of-one-piece-manga-chapters","820","Dog and Cat Have a History","March 19, 2016","17"
"1653553987-455","https://listfist.com/list-of-one-piece-manga-chapters","455","Royal Shichibukai, Gekko Moriah","May 14, 2007","19"
"1653553987-554","https://listfist.com/list-of-one-piece-manga-chapters","554","Admiral Akainu","August 24, 2009","15"
"1653553987-806","https://listfist.com/list-of-one-piece-manga-chapters","806","At the Fortress of Right Belly","November 9, 2015","17"
"1653553987-608","https://listfist.com/list-of-one-piece-manga-chapters","608","Undersea Paradise","December 20, 2010","17"
"1653553987-741","https://listfist.com/list-of-one-piece-manga-chapters","741","Liar Usoland","March 17, 2014","19"
"1653553987-650","https://listfist.com/list-of-one-piece-manga-chapters","650","Two Changes You Need to Know","December 19, 2011","17"
"1653553987-171","https://listfist.com/list-of-one-piece-manga-chapters","171","Kohza, Leader of the Rebellion","February 10, 2001","19"
"1653553987-964","https://listfist.com/list-of-one-piece-manga-chapters","964","Oden's Adventure","December 2, 2019","17"
"1653553987-802","https://listfist.com/list-of-one-piece-manga-chapters","802","Zou","October 5, 2015","17"
"1653553987-550","https://listfist.com/list-of-one-piece-manga-chapters","550","Marine Headquarters","July 18, 2009","19"
"1653553987-899","https://listfist.com/list-of-one-piece-manga-chapters","899","The Last Stand","March 26, 2018","17"
"1653553987-969","https://listfist.com/list-of-one-piece-manga-chapters","969","Fool of a Lord","January 27, 2020","17"
"1653553987-634","https://listfist.com/list-of-one-piece-manga-chapters","634","100,000 vs. 10","August 8, 2011","19"
"1653553987-306","https://listfist.com/list-of-one-piece-manga-chapters","306","Donut Race!!","January 19, 2004","19"
"1653553987-526","https://listfist.com/list-of-one-piece-manga-chapters","526","Adventure in the Great Prison","December 22, 2008","21"
"1653553987-615","https://listfist.com/list-of-one-piece-manga-chapters","615","Curse of Mato Mato","February 21, 2011","17"
"1653553987-388","https://listfist.com/list-of-one-piece-manga-chapters","388","Gear Second","November 7, 2005","19"
"1653553987-219","https://listfist.com/list-of-one-piece-manga-chapters","219","Salvage King Masira","February 25, 2002","19"
"1653553987-357","https://listfist.com/list-of-one-piece-manga-chapters","357","Cutty Flam","March 7, 2005","21"
"1653553987-319","https://listfist.com/list-of-one-piece-manga-chapters","319","Marine Headquarters ""Admiral"" Aokiji","April 26, 2004","19"
"1653553987-843","https://listfist.com/list-of-one-piece-manga-chapters","843","Vinsmoke Sanji","October 24, 2016","19"
"1653553987-590","https://listfist.com/list-of-one-piece-manga-chapters","590","My Little Brother","July 5, 2010","19"
"1653553987-137","https://listfist.com/list-of-one-piece-manga-chapters","137","Avalanche","May 29, 2000","20"
"1653553987-859","https://listfist.com/list-of-one-piece-manga-chapters","859","Yonko Assassination Plan","March 18, 2017","17"
"1653553987-991","https://listfist.com/list-of-one-piece-manga-chapters","991","Let Us Die!!!","September 28, 2020","17"
"1653553987-734","https://listfist.com/list-of-one-piece-manga-chapters","734","The Kamaitachi of Rommel","January 20, 2014","19"
"1653553987-170","https://listfist.com/list-of-one-piece-manga-chapters","170","It Begins","February 5, 2001","19"
"1653553987-39","https://listfist.com/list-of-one-piece-manga-chapters","39","For Whom the Bell Tolls","May 11, 1998","19"
"1653553987-409","https://listfist.com/list-of-one-piece-manga-chapters","409","Emergency Bad News Broadcast","May 8, 2006","19"
"1653553987-832","https://listfist.com/list-of-one-piece-manga-chapters","832","Germa Kingdom","July 16, 2016","19"
"1653553987-117","https://listfist.com/list-of-one-piece-manga-chapters","117","Dorry and Brogy","December 20, 1999","19"
"1653553987-380","https://listfist.com/list-of-one-piece-manga-chapters","380","Express to Enies Lobby Main Island","September 5, 2005","19"
"1653553987-760","https://listfist.com/list-of-one-piece-manga-chapters","760","The Same Bet","September 13, 2014","13"
"1653553987-585","https://listfist.com/list-of-one-piece-manga-chapters","585","Brothers' Sake Cups","May 24, 2010","19"
"1653553987-539","https://listfist.com/list-of-one-piece-manga-chapters","539","Emporio Tension Hormones","April 13, 2009","19"
"1653553987-331","https://listfist.com/list-of-one-piece-manga-chapters","331","A Big Quarrel","August 2, 2004","19"
"1653553987-177","https://listfist.com/list-of-one-piece-manga-chapters","177","30,000,000 vs. 81,000,000","April 2, 2001","19"
"1653553987-227","https://listfist.com/list-of-one-piece-manga-chapters","227","Noland the Liar","April 22, 2002","19"
"1653553987-696","https://listfist.com/list-of-one-piece-manga-chapters","696","Community of Interests","January 28, 2013","19"
"1653553987-572","https://listfist.com/list-of-one-piece-manga-chapters","572","The Times They Are A-Changin'","February 1, 2010","17"
"1653553987-288","https://listfist.com/list-of-one-piece-manga-chapters","288","Curse","August 25, 2003","19"
"1653553987-1026","https://listfist.com/list-of-one-piece-manga-chapters","1026","The Pivotal Clash","September 27, 2021","17"
"1653553987-609","https://listfist.com/list-of-one-piece-manga-chapters","609","Adventure on Fishman Island","January 4, 2011","19"
"1653553987-561","https://listfist.com/list-of-one-piece-manga-chapters","561","Luffy vs. Mihawk","October 26, 2009","17"
"1653553987-954","https://listfist.com/list-of-one-piece-manga-chapters","954","Like Giving Wings to a Dragon","September 2, 2019","15"
"1653553987-262","https://listfist.com/list-of-one-piece-manga-chapters","262","Chopper the Pirate vs. Gedatsu the Priest","January 27, 2003","19"
"1653553987-369","https://listfist.com/list-of-one-piece-manga-chapters","369","Ramen Kenpo","June 6, 2005","19"
"1653553987-881","https://listfist.com/list-of-one-piece-manga-chapters","881","Wave Room","October 7, 2017","17"
"1653553987-702","https://listfist.com/list-of-one-piece-manga-chapters","702","Corrida Colosseum","March 25, 2013","15"
"1653553987-393","https://listfist.com/list-of-one-piece-manga-chapters","393","Olvia","December 19, 2005","19"
"1653553987-287","https://listfist.com/list-of-one-piece-manga-chapters","287","Godkiller","August 11, 2003","19"
"1653553987-552","https://listfist.com/list-of-one-piece-manga-chapters","552","Ace and Whitebeard","August 3, 2009","19"
"1653553987-596","https://listfist.com/list-of-one-piece-manga-chapters","596","Spectrum","August 23, 2010","19"
"1653553987-174","https://listfist.com/list-of-one-piece-manga-chapters","174","Mr. Prince","March 12, 2001","19"
"1653553987-984","https://listfist.com/list-of-one-piece-manga-chapters","984","My Bible","August 6, 2020","17"
"1653553987-122","https://listfist.com/list-of-one-piece-manga-chapters","122","A Corpse Won't Help","February 7, 2000","19"
"1653553987-460","https://listfist.com/list-of-one-piece-manga-chapters","460","Get Back Before Dawn!!","June 25, 2007","19"
"1653553987-487","https://listfist.com/list-of-one-piece-manga-chapters","487","That Song","February 4, 2008","19"
"1653553987-851","https://listfist.com/list-of-one-piece-manga-chapters","851","Moist Cigarette","January 7, 2017","17"
"1653553987-513","https://listfist.com/list-of-one-piece-manga-chapters","513","I Couldn't Save Them!!!","September 8, 2008","19"
"1653553987-222","https://listfist.com/list-of-one-piece-manga-chapters","222","Big-Time Rookies","March 18, 2002","19"
"1653553987-85","https://listfist.com/list-of-one-piece-manga-chapters","85","Three-Sword Style vs. Six-Sword Style","April 19, 1999","19"
"1653553987-705","https://listfist.com/list-of-one-piece-manga-chapters","705","Maynard the Pursuer","April 15, 2013","19"
"1653553987-792","https://listfist.com/list-of-one-piece-manga-chapters","792","Prostration","July 6, 2015","15"
"1653553987-169","https://listfist.com/list-of-one-piece-manga-chapters","169","Strongest Warrior in the Kingdom","January 29, 2001","19"
"1653553987-884","https://listfist.com/list-of-one-piece-manga-chapters","884","Who","November 6, 2017","17"
"1653553987-162","https://listfist.com/list-of-one-piece-manga-chapters","162","Adventure in the Kingdom of Sand","November 27, 2000","19"
"1653553987-752","https://listfist.com/list-of-one-piece-manga-chapters","752","Palm","July 7, 2014","17"
"1653553987-358","https://listfist.com/list-of-one-piece-manga-chapters","358","Revival","March 14, 2005","19"
"1653553987-228","https://listfist.com/list-of-one-piece-manga-chapters","228","Last Boss of the Allied Saruyama Forces, Montblanc Cricket","April 27, 2002","19"
"1653553987-1043","https://listfist.com/list-of-one-piece-manga-chapters","1043","Let's Face Death Together!!!","March 14, 2022","17"
"1653553987-146","https://listfist.com/list-of-one-piece-manga-chapters","146","The Battle of National Defense","July 31, 2000","19"
"1653553987-795","https://listfist.com/list-of-one-piece-manga-chapters","795","Suicide","August 3, 2015","17"
"1653553987-757","https://listfist.com/list-of-one-piece-manga-chapters","757","Trump Card","August 25, 2014","17"
"1653553987-282","https://listfist.com/list-of-one-piece-manga-chapters","282","Desire","June 30, 2003","19"
"1653553987-981","https://listfist.com/list-of-one-piece-manga-chapters","981","Joining the Fight","July 8, 2020","19"
"1653553987-1012","https://listfist.com/list-of-one-piece-manga-chapters","1012","Itch","May 10, 2021","15"
"1653553987-224","https://listfist.com/list-of-one-piece-manga-chapters","224","Never Dream","April 1, 2002","19"
"1653553987-939","https://listfist.com/list-of-one-piece-manga-chapters","939","An Old Leopard Knows The Way","April 15, 2019","17"
"1653553987-835","https://listfist.com/list-of-one-piece-manga-chapters","835","The Nation of Souls","August 8, 2016","19"
"1653553987-256","https://listfist.com/list-of-one-piece-manga-chapters","256","Wiper the ""Berserker""","December 2, 2002","19"
"1653553987-310","https://listfist.com/list-of-one-piece-manga-chapters","310","Groggy Ring!!","February 16, 2004","19"
"1653553987-223","https://listfist.com/list-of-one-piece-manga-chapters","223","I Promise Not to Fight Within This Town","March 25, 2002","19"
"1653553987-655","https://listfist.com/list-of-one-piece-manga-chapters","655","Punk Hazard","February 6, 2012","19"
"1653553987-197","https://listfist.com/list-of-one-piece-manga-chapters","197","The Leaders","September 3, 2001","19"
"1653553987-205","https://listfist.com/list-of-one-piece-manga-chapters","205","The Suna Suna Clan's Secret Base","October 29, 2001","19"
"1653553987-1034","https://listfist.com/list-of-one-piece-manga-chapters","1034","Sanji vs. Queen","December 6, 2021","15"
"1653553987-833","https://listfist.com/list-of-one-piece-manga-chapters","833","Vinsmoke Judge","July 25, 2016","19"
"1653553987-166","https://listfist.com/list-of-one-piece-manga-chapters","166","Luffy vs. Vivi","January 4, 2001","19"
"1653553987-271","https://listfist.com/list-of-one-piece-manga-chapters","271","Zoro the Pirate vs. Ohm the Priest","April 7, 2003","19"
"1653553987-1019","https://listfist.com/list-of-one-piece-manga-chapters","1019","Heliceratops","July 19, 2021","19"
"1653553987-631","https://listfist.com/list-of-one-piece-manga-chapters","631","Gyoncorde Plaza","July 11, 2011","19"
"1653553987-509","https://listfist.com/list-of-one-piece-manga-chapters","509","Kizaru vs. the 4 Captains","August 4, 2008","19"
"1653553987-243","https://listfist.com/list-of-one-piece-manga-chapters","243","Ordeals","August 26, 2002","17"
"1653553987-996","https://listfist.com/list-of-one-piece-manga-chapters","996","Island of the Strongest","November 21, 2020","17"
"1653553987-1001","https://listfist.com/list-of-one-piece-manga-chapters","1001","Battle of Monsters on Onigashima","January 18, 2021","17"
"1653553987-321","https://listfist.com/list-of-one-piece-manga-chapters","321","One-on-One","May 17, 2004","19"
"1653553987-712","https://listfist.com/list-of-one-piece-manga-chapters","712","Violet","July 1, 2013","19"
"1653553987-450","https://listfist.com/list-of-one-piece-manga-chapters","450","General Zombie Night","April 2, 2007","19"
"1653553987-129","https://listfist.com/list-of-one-piece-manga-chapters","129","Straight Ahead!!!","March 27, 2000","21"
"1653553987-105","https://listfist.com/list-of-one-piece-manga-chapters","105","Log Pose","September 20, 1999","19"
"1653553987-662","https://listfist.com/list-of-one-piece-manga-chapters","662","Shichibukai Law vs. Vice Admiral Smoker","April 2, 2012","19"
"1653553987-511","https://listfist.com/list-of-one-piece-manga-chapters","511","Axe-Wielding Sentomaru","August 25, 2008","19"
"1653553987-779","https://listfist.com/list-of-one-piece-manga-chapters","779","The Last Fight","March 9, 2015","19"
"1653553987-750","https://listfist.com/list-of-one-piece-manga-chapters","750","The State of the War","June 23, 2014","19"
"1653553987-624","https://listfist.com/list-of-one-piece-manga-chapters","624","Queen Otohime","May 16, 2011","17"
"1653553987-252","https://listfist.com/list-of-one-piece-manga-chapters","252","Junction","November 2, 2002","19"
"1653553987-284","https://listfist.com/list-of-one-piece-manga-chapters","284","Thanks","July 14, 2003","19"
"1653553987-1006","https://listfist.com/list-of-one-piece-manga-chapters","1006","The Honorable Hyogoro of the Flower","March 8, 2021","19"
"1653553987-163","https://listfist.com/list-of-one-piece-manga-chapters","163","Yuba, the Rebel Town","December 4, 2000","19"
"1653553987-706","https://listfist.com/list-of-one-piece-manga-chapters","706","I Won't Laugh at You","April 22, 2013","15"
"1653553987-912","https://listfist.com/list-of-one-piece-manga-chapters","912","Amigasa Village","July 23, 2018","19"
"1653553987-296","https://listfist.com/list-of-one-piece-manga-chapters","296","High-Altitude Situation","October 20, 2003","19"
"1653553987-887","https://listfist.com/list-of-one-piece-manga-chapters","887","Somewhere, Someone is Wishing for Your Happiness","December 4, 2017","17"
"1653553987-238","https://listfist.com/list-of-one-piece-manga-chapters","238","Heaven's Gate","July 15, 2002","17"
"1653553987-600","https://listfist.com/list-of-one-piece-manga-chapters","600","The Island of Restarting","October 18, 2010","19"
"1653553987-863","https://listfist.com/list-of-one-piece-manga-chapters","863","The Honorable","April 24, 2017","19"
"1653553987-416","https://listfist.com/list-of-one-piece-manga-chapters","416","Zoro vs. Kaku","June 26, 2006","19"
"1653553987-501","https://listfist.com/list-of-one-piece-manga-chapters","501","A World Beginning to Swell","June 2, 2008","19"
"1653553987-266","https://listfist.com/list-of-one-piece-manga-chapters","266","Chopper the Pirate vs. Ohm the Priest","February 24, 2003","19"
"1653553987-315","https://listfist.com/list-of-one-piece-manga-chapters","315","Secret Room","March 22, 2004","19"
"1653553987-1015","https://listfist.com/list-of-one-piece-manga-chapters","1015","Chains","June 7, 2021","17"
"1653553987-438","https://listfist.com/list-of-one-piece-manga-chapters","438","Pride","December 18, 2006","19"
